"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","text-tag_textTag__mQeO_","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E 3"
"https://www.yad2.co.il/realestate/item/jx63x6tl?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=7","https://img.yad2.co.il/Pic/202410/04/2_1/o/y2_1_09034_20241004185413.jpeg?w=3840&h=3840&c=9","","","","4,500,000 ₪","רדינג 11","דירת גן, רמת אביב, תל אביב יפו","3 חדרים • קומה ‎קרקע‏ • 50 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/3fjc6hdi?opened-from=feed&component-type=main_feed&spot=booster&location=25&pagination=7","","","","","4,380,000 ₪","שלומציון המלכה","דירה, הצפון החדש - צפון, תל אביב יפו","3 חדרים • קומה ‎2‏ • 72 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/8gni635a?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=7","https://img.yad2.co.il/Pic/202411/04/2_5/o/y2_1pa_010076_20241104150507.jpeg?w=3840&h=3840&c=9","","Realty Israel","Realty Israel","3,990,000 ₪","3903","גג/ פנטהאוז, צפון יפו, המושבה האמריקאית-גרמנית, תל אביב יפו","3 חדרים • קומה ‎4‏ • 100 מ״ר","2 מרפסות","ממ""ד","המודעה נשמרה","חניה"
"https://www.yad2.co.il/realestate/item/2ltfwyua?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=7","https://img.yad2.co.il/Pic/202403/20/2_5/o/y2_1pa_010525_20240320122632.jpeg?w=3840&h=3840&c=9","ירד ב-100,000 ₪","צ'יץ יזמות ושיווק נדל''ן","צ'יץ יזמות ושיווק נדל''ן","3,150,000 ₪","וינגייט","דירה, יד אליהו, תל אביב יפו","3 חדרים • קומה ‎3‏ • 85 מ״ר","ממ""ד","חניה","המודעה נשמרה","נכס חדש"
"https://www.yad2.co.il/realestate/item/qb3tcv40?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=7","https://img.yad2.co.il/Pic/202409/22/2_5/o/y2_1pa_010592_20240922155142.jpeg?w=3840&h=3840&c=9","ירד ב-100,000 ₪","Home Market","Home Market","4,950,000 ₪","אשתורי הפרחי","דירה, הצפון הישן - צפון, תל אביב יפו","3 חדרים • קומה ‎4‏ • 85 מ״ר","ייחודי","חבל לפספס","המודעה נשמרה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/locavwvb?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=7","https://img.yad2.co.il/Pic/202410/10/2_5/o/y2_1pa_010097_20241010191520.jpeg?w=3840&h=3840&c=9","","Home Plus","Home Plus","2,650,000 ₪","הגדוד העברי","דירה, תל אביב יפו","3 חדרים • קומה ‎1‏ • 74 מ״ר","ייחודי","חבל לפספס","המודעה נשמרה","בהזדמנות"
"","","","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/rnzhcny0?opened-from=feed&component-type=main_feed&spot=standard&location=30&pagination=7","https://img.yad2.co.il/Pic/202410/23/2_5/o/y2_5_IFPuJccIQx_20241023.jpg?w=3840&h=3840&c=9","בלעדי","בית פתוח","בית פתוח","5,475,000 ₪","רופין","דירה, הצפון הישן - דרום, תל אביב יפו","3 חדרים • קומה ‎1‏ • 95 מ״ר","חניה","קרוב לים","המודעה נשמרה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/fxapn9r2?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=7","https://img.yad2.co.il/Pic/202409/24/2_5/o/y2_1pa_010965_20240924145659.jpeg?w=3840&h=3840&c=9","בלעדי","Home Market Projects","Home Market Projects","4,431,450 ₪","דירת גן","דירת גן, תל אביב יפו","3 חדרים • קומה ‎קרקע‏ • 232 מ״ר","ממ""ד","חניה","המודעה נשמרה","נכס חדש"
"https://www.yad2.co.il/realestate/item/mdnvvojk?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=7","https://img.yad2.co.il/Pic/202309/27/2_5/o/y2_13_UteHHsyvMa_20230927.jpg?w=3840&h=3840&c=9","","אייל ארליך Tel Aviv Realty","אייל ארליך Tel Aviv Realty","6,950,000 ₪","לבונטין 19","דירה, לב תל אביב, לב העיר צפון, תל אביב יפו","3 חדרים • קומה ‎1‏ • 129 מ״ר","2 מרפסות","ממ""ד","המודעה נשמרה","חניה"
