"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","text-tag_textTag__mQeO_","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3"
"https://www.yad2.co.il/realestate/item/5986jy6n?opened-from=feed&component-type=main_feed&spot=standard&location=25","https://img.yad2.co.il/Pic/202411/07/2_5/o/y2_1pa_010347_20241107094606.jpeg?w=3840&h=3840&c=9","סיטי האוז נכסים והשקעות","סיטי האוז נכסים והשקעות","6,250,000 ₪","דו משפחתי","דו משפחתי, תל מונד","5 חדרים • קומה ‎קרקע‏ • 270 מ״ר","המודעה נשמרה","","2 מרפסות","ממ""ד","חניה"
"https://www.yad2.co.il/realestate/item/pw68pvzj?opened-from=feed&component-type=main_feed&spot=standard&location=26","https://img.yad2.co.il/Pic/202409/26/2_5/o/y2_1pa_010399_20240926104552.jpeg?w=3840&h=3840&c=9","One נכסים","One נכסים","945,000 ₪","יצחק רגר 138","דירה, שכונה ד', באר שבע","4 חדרים • קומה ‎3‏ • 94 מ״ר","המודעה נשמרה","","קרוב לפארק","חבל לפספס","בהזדמנות"
"https://www.yad2.co.il/realestate/item/gym92ydg?opened-from=feed&component-type=main_feed&spot=standard&location=27","https://img.yad2.co.il/Pic/202411/04/2_5/o/y2_1pa_010403_20241104185508.jpeg?w=3840&h=3840&c=9","Asaf Weiser","Asaf Weiser","2,790,000 ₪","הירדן","דירה, נווה רם, שיכון מזרחי, רמת גן","5 חדרים • קומה ‎5‏ • 125 מ״ר","המודעה נשמרה","","חניה","מטבח גדול","בהזדמנות"
"","","","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/fdbuccv0?opened-from=feed&component-type=main_feed&spot=standard&location=28","https://img.yad2.co.il/Pic/202409/23/2_5/o/y2_3_EvEEYwN4On_20240923.jpg?w=3840&h=3840&c=9","promise","promise","3,950,000 ₪","אריה דולצ'ין","דירה, גבעת משואה, ירושלים","5 חדרים • קומה ‎1‏ • 110 מ״ר","המודעה נשמרה","ירד ב-140,000 ₪","ממ""ד","קרוב לפארק","בהזדמנות"
"https://www.yad2.co.il/realestate/item/sjkjlnqc?opened-from=feed&component-type=main_feed&spot=standard&location=29","https://img.yad2.co.il/Pic/202407/23/2_5/o/y2_1_nP3yg6MMv5_20240723.png?w=3840&h=3840&c=9","תיווך אופק ארמנדו","תיווך אופק ארמנדו","25,000,000 ₪","זלוציסטי 6","גג/ פנטהאוז, הצפון החדש - כיכר המדינה, תל אביב יפו","6 חדרים • קומה ‎6‏ • 360 מ״ר","המודעה נשמרה","בלעדי","3 מרפסות","ממ""ד","חניה"
"https://www.yad2.co.il/realestate/item/4zdc44e4?opened-from=feed&component-type=main_feed&spot=standard&location=30","https://img.yad2.co.il/Pic/202410/23/2_5/o/y2_15_S8pGtKdkgy_20241023.jpg?w=3840&h=3840&c=9","SUNSET LUXURY REAL ESTATE","SUNSET LUXURY REAL ESTATE","6,500,000 ₪","קייט ושייט - שכונת המשולשים","בית פרטי/ קוטג', קיסריה","5 חדרים • קומה ‎קרקע‏ • 264 מ״ר","המודעה נשמרה","בלעדי","ממ""ד","חניה","קרוב לים"
"https://www.yad2.co.il/realestate/item/kq9lreqh?opened-from=feed&component-type=main_feed&spot=standard&location=31","https://img.yad2.co.il/Pic/202308/21/2_5/o/y2_1_VACzyneDT9_20230821.jpg?w=3840&h=3840&c=9","תיווך נינווה","תיווך נינווה","6,400,000 ₪","משמר הגבול","דירה, אפקה, תל אביב יפו","6 חדרים • קומה ‎3‏ • 160 מ״ר","המודעה נשמרה","בלעדי","חניה","בניין משופץ","בהזדמנות"
"https://www.yad2.co.il/realestate/item/qsqmd13w?opened-from=feed&component-type=main_feed&spot=standard&location=32","https://img.yad2.co.il/Pic/202409/28/2_5/o/y2_1pa_010535_20240928142459.jpeg?w=3840&h=3840&c=9","מיכל שזיפי נדלן","מיכל שזיפי נדלן","2,580,000 ₪","כרמל מרכזי - שד' קיש","דירה, כרמל מרכזי - שד' קיש, חיפה","3 חדרים • קומה ‎11‏ • 90 מ״ר","המודעה נשמרה","","ממ""ד","חניה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/xks1slg7?opened-from=feed&component-type=main_feed&spot=standard&location=33","https://img.yad2.co.il/Pic/202410/10/2_5/o/y2_1pa_010617_20241010091107.jpeg?w=3840&h=3840&c=9","קומפאס","קומפאס","2,080,000 ₪","נאות שמיר","דירה, נאות שמיר, רמלה","3 חדרים • קומה ‎6‏ • 98 מ״ר","המודעה נשמרה","ירד ב-110,000 ₪","ממ""ד","חניה","נכס חדש"
"https://www.yad2.co.il/realestate/item/rh0q2s9u?opened-from=feed&component-type=main_feed&spot=standard&location=34","https://img.yad2.co.il/Pic/202403/26/2_5/o/y2_1pa_010937_20240326210715.jpeg?w=3840&h=3840&c=9","NADLAN STATE -  שיווק נדל""ן","NADLAN STATE -  שיווק נדל""ן","לא צוין מחיר","בית פרטי/ קוטג'","בית פרטי/ קוטג', ראשון לציון","8 חדרים • קומה ‎קרקע‏ • 340 מ״ר","המודעה נשמרה","","2 מרפסות","ממ""ד","חניה"
"https://www.yad2.co.il/realestate/item/kpe3yly8?opened-from=feed&component-type=main_feed&spot=standard&location=35","https://img.yad2.co.il/Pic/202408/06/2_5/o/y2_3_gu_QdE5_hi_20240806.jpg?w=3840&h=3840&c=9","אדוה תיווך עם חיוך","אדוה תיווך עם חיוך","3,390,000 ₪","אסף","דירה, חרוזים, רמת גן","3 חדרים • קומה ‎4‏ • 91 מ״ר","המודעה נשמרה","ירד ב-60,000 ₪","ממ""ד","חניה","נכס חדש"
