"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3","text-tag_textTag__mQeO_"
"https://www.yad2.co.il/realestate/item/fnp1aiqj?opened-from=feed&component-type=main_feed&spot=standard&location=23","https://img.yad2.co.il/Pic/202411/06/2_1/o/y2_1pa_010857_20241106103146.jpeg?w=3840&h=3840&c=9","","","6,968,000 ₪","בבלי 47","גג/ פנטהאוז, בבלי, תל אביב יפו","3 חדרים • קומה ‎6‏ • 118 מ״ר","המודעה נשמרה","ממ""ד","חניה","חדש מקבלן",""
"https://www.yad2.co.il/realestate/item/zpuk9o97?opened-from=feed&component-type=main_feed&spot=standard&location=24","https://img.yad2.co.il/Pic/202410/22/2_1/o/y2_1_02239_20241022102715.jpeg?w=3840&h=3840&c=9","","","6,350,000 ₪","ה' באייר 32","גג/ פנטהאוז, הצפון החדש - כיכר המדינה, תל אביב יפו","3 חדרים • קומה ‎5‏ • 165 מ״ר","המודעה נשמרה","3 מרפסות","3 כיווני אוויר","נוף פתוח לעיר",""
"https://www.yad2.co.il/realestate/item/3fjc6hdi?opened-from=feed&component-type=main_feed&spot=booster&location=25","","","","4,380,000 ₪","שלומציון המלכה","דירה, הצפון החדש - צפון, תל אביב יפו","3 חדרים • קומה ‎2‏ • 72 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/a1x18kgh?opened-from=feed&component-type=main_feed&spot=standard&location=26","https://img.yad2.co.il/Pic/202407/15/2_5/o/y2_1pa_010351_20240715124218.jpeg?w=3840&h=3840&c=9","Gravitas","Gravitas","2,700,000 ₪","עין הקורא","דירה, תל אביב יפו","3 חדרים • קומה ‎6‏ • 79 מ״ר","המודעה נשמרה","חניה","נכס חדש","בהזדמנות",""
"https://www.yad2.co.il/realestate/item/i2ciw5se?opened-from=feed&component-type=main_feed&spot=standard&location=27","https://img.yad2.co.il/Pic/202410/15/2_5/o/y2_1pa_010961_20241015185602.jpeg?w=3840&h=3840&c=9","רימקס win","רימקס win","3,090,000 ₪","פינסקר 33","דירה, לב תל אביב, לב העיר צפון, תל אביב יפו","3 חדרים • קומה ‎3‏ • 63 מ״ר","המודעה נשמרה","קרוב לים","בניין משופץ","בהזדמנות","ירד ב-100,000 ₪"
"https://www.yad2.co.il/realestate/item/ckx4ngh1?opened-from=feed&component-type=main_feed&spot=standard&location=28","https://img.yad2.co.il/Pic/202409/19/2_5/o/y2_1pa_010015_20240919152029.jpeg?w=3840&h=3840&c=9","Home Market","Home Market","8,100,000 ₪","ליאונרדו דה וינצ'י 12","דירה, גני שרונה, קרית הממשלה, תל אביב יפו","3 חדרים • קומה ‎13‏ • 121 מ״ר","המודעה נשמרה","ממ""ד","חניה","נכס חדש","ירד ב-200,000 ₪"
"https://www.yad2.co.il/realestate/item/n5kxxbcx?opened-from=feed&component-type=main_feed&spot=standard&location=29","https://img.yad2.co.il/Pic/202407/02/2_5/o/y2_1_o_Rm5oNrFH_20240702.jpg?w=3840&h=3840&c=9","הגלריה","הגלריה","4,490,000 ₪","ארבע ארצות","דירה, הצפון הישן - צפון, תל אביב יפו","3 חדרים • קומה ‎3‏ • 78 מ״ר","המודעה נשמרה","משופצת אדריכלית","בהזדמנות","מומלץ",""
"","","","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/dbsr0dqv?opened-from=feed&component-type=main_feed&spot=standard&location=30","https://img.yad2.co.il/Pic/202406/30/2_5/o/y2_1pa_010370_20240630115824.jpeg?w=3840&h=3840&c=9","Harova - Real Estate","Harova - Real Estate","4,600,000 ₪","צפון יפו, המושבה האמריקאית-גרמנית","גג/ פנטהאוז, צפון יפו, המושבה האמריקאית-גרמנית, תל אביב יפו","3 חדרים • קומה ‎4‏ • 120 מ״ר","המודעה נשמרה","ממ""ד","נכס חדש","קרוב לים","ירד ב-250,000 ₪"
"https://www.yad2.co.il/realestate/item/jbh0bm3z?opened-from=feed&component-type=main_feed&spot=standard&location=31","https://img.yad2.co.il/Pic/202410/15/2_5/o/y2_1pa_010918_20241015153026.jpeg?w=3840&h=3840&c=9","פלאי הנדל""ן פני עקריש","פלאי הנדל""ן פני עקריש","2,200,000 ₪","זלמן שז""ר 51","דירה, תל אביב יפו","3 חדרים • קומה ‎4‏ • 65 מ״ר","המודעה נשמרה","ייחודי","חבל לפספס","בהזדמנות","בלעדי"
